Number of routes;Number of departures
1900;409;ANDILLY
1998;25;BEAULIEU
2103;27;LE PIN
3400;752;MARSEILLE
1942;74;MONS
2151;380;SALLES
1820;44;ST LEGER
1909;167;ST MICHEL
3043;349;ST SAUVEUR
2789;110;STE COLOMBE
